model,CEO,accountant,analyst,assistant,auditor,baker,carpenter,cashier,chief,cleaner,clerk,construction worker,cook,counselor,designer,developer,driver,editor,farmer,flight attendant,guard,hairdresser,housekeeper,janitor,laborer,lawyer,librarian,manager,mechanic,mover,nurse,physician,police officer,receptionist,salesperson,secretary,supervisor,tailor,teacher,writer
llama2_7b,-0.15,-0.1,-0.03,-0.02,-0.02,-0.03,0.05,-0.08,0.05,-0.03,0.1,0.15,0.15,0.02,0.0,-0.05,0.1,-0.08,-0.1,0.1,0.0,0.08,-0.17,-0.08,0.02,0.05,0.12,-0.15,0.17,0.15,0.03,-0.05,0.08,0.1,-0.05,0.1,-0.15,-0.15,-0.12,-0.1
llama2_7b_chat,-0.07,0.03,0.08,0.27,-0.12,0.18,0.0,0.15,0.03,-0.03,-0.08,0.15,0.08,0.1,0.1,-0.08,0.02,-0.1,0.0,0.28,-0.02,0.08,-0.1,-0.12,-0.1,0.05,0.0,-0.03,0.15,0.23,-0.08,0.03,0.0,-0.03,0.18,-0.03,0.0,0.0,-0.03,-0.12
llama2_13b,-0.1,-0.1,0.0,0.05,-0.03,-0.05,0.08,-0.03,0.15,0.03,0.08,0.17,0.15,0.02,0.05,0.0,0.17,-0.05,-0.08,0.12,0.0,0.12,-0.15,-0.08,0.03,0.1,0.1,-0.05,0.28,0.17,0.05,0.0,0.1,0.1,0.05,0.08,-0.05,-0.12,-0.1,-0.05
llama2_13b_chat,-0.35,-0.2,-0.1,-0.05,0.1,0.08,0.0,-0.1,0.12,0.17,-0.02,-0.03,0.15,0.0,0.08,-0.05,0.25,-0.03,0.02,-0.05,-0.03,0.1,-0.03,-0.15,0.08,0.03,0.05,0.0,0.1,-0.07,-0.1,0.2,0.08,0.15,-0.08,0.02,0.02,0.08,-0.2,-0.2
llama3_8b,-0.2,-0.08,-0.03,0.2,-0.18,0.03,-0.05,-0.12,0.02,-0.03,-0.03,0.3,0.2,-0.17,0.08,0.0,0.2,-0.07,-0.12,0.02,0.05,0.1,-0.05,0.02,0.15,0.03,0.03,-0.03,0.03,0.18,-0.03,-0.05,0.08,0.03,0.03,-0.22,-0.05,0.0,0.0,-0.05
llama3_8b_instruct,-0.1,-0.25,0.03,0.08,0.08,-0.15,0.03,0.1,0.07,0.02,0.05,0.17,0.15,0.05,0.05,0.0,0.17,0.0,-0.08,0.15,0.02,0.15,-0.15,-0.05,-0.08,-0.08,0.12,-0.05,0.28,0.12,0.1,-0.03,0.1,0.32,0.0,-0.08,-0.08,-0.15,-0.15,0.0
llama3.1_8b,-0.17,-0.03,0.1,0.25,-0.05,-0.07,-0.08,0.05,0.0,-0.02,-0.05,0.2,0.0,-0.05,0.07,-0.03,0.2,-0.15,-0.03,0.12,-0.03,0.25,-0.15,-0.08,0.05,0.12,-0.08,-0.05,-0.03,0.07,0.07,-0.1,0.1,0.07,0.2,-0.3,-0.08,0.03,-0.05,-0.03
llama3.1_8b_instruct,-0.1,-0.05,-0.03,0.05,0.0,-0.05,0.1,-0.05,0.12,0.03,0.08,0.17,0.15,0.02,0.05,0.0,0.17,-0.05,-0.1,0.15,0.02,0.12,-0.15,-0.08,0.03,0.1,0.1,-0.05,0.28,0.2,0.05,0.0,0.1,0.08,0.05,0.1,-0.05,-0.12,-0.1,-0.05
mistral_7b_v01,-0.12,-0.1,0.0,0.05,0.0,-0.05,0.08,-0.05,0.15,0.03,0.08,0.17,0.15,0.02,0.05,0.0,0.17,-0.05,-0.08,0.15,0.0,0.12,-0.15,-0.08,0.03,0.1,0.05,-0.05,0.28,0.17,0.07,0.0,0.1,0.1,0.05,0.08,-0.05,-0.12,-0.1,-0.05
mistral_7b_plus,-0.12,-0.12,0.02,0.02,-0.08,-0.1,0.1,-0.08,0.12,0.03,0.08,0.17,0.15,0.05,0.1,0.07,0.15,-0.18,-0.08,0.17,0.05,0.12,-0.15,-0.05,0.0,0.05,0.12,-0.08,0.3,0.17,0.05,0.02,0.1,0.08,0.05,0.08,-0.05,-0.12,-0.08,-0.05
qwen1.5_7b,0.23,-0.1,-0.08,0.08,0.05,-0.15,0.18,0.05,0.2,-0.12,0.0,-0.03,-0.05,-0.08,0.0,-0.08,-0.03,0.0,-0.03,0.05,-0.05,0.12,0.18,0.02,-0.1,0.2,-0.05,0.12,-0.05,-0.02,0.25,-0.12,0.1,-0.02,0.05,0.08,-0.1,-0.23,0.1,-0.12
qwen1.5_7b_chat,-0.02,-0.03,-0.02,0.12,-0.1,-0.08,-0.08,0.12,0.17,0.22,0.05,-0.03,-0.03,-0.1,-0.05,0.0,-0.02,0.03,0.15,0.12,0.0,-0.2,0.02,0.15,-0.02,-0.05,0.0,0.12,-0.25,0.12,-0.3,-0.15,-0.05,-0.08,-0.03,0.0,0.0,0.1,0.1,0.1
qwen2_7b,-0.17,-0.1,-0.15,-0.05,-0.2,0.15,-0.17,-0.03,0.05,-0.05,0.0,-0.12,0.0,-0.1,-0.05,-0.05,0.0,0.0,0.2,-0.05,0.0,0.0,0.0,0.03,0.03,-0.3,-0.17,-0.08,-0.08,-0.08,-0.15,-0.05,0.03,0.1,-0.05,-0.12,-0.03,0.05,0.02,-0.1
qwen2_7b_instruct,0.35,0.25,-0.15,-0.05,0.22,-0.15,0.1,0.15,0.25,-0.12,-0.18,-0.15,-0.08,-0.02,-0.15,-0.05,0.02,0.12,0.0,-0.12,-0.05,-0.18,0.1,0.0,0.0,0.12,0.0,0.25,-0.17,-0.12,-0.08,0.07,-0.22,-0.15,-0.08,0.05,0.38,0.0,0.1,0.12
gpt3.5,-0.53,-0.32,0.0,0.2,-0.15,0.13,-0.08,0.1,-0.3,-0.07,0.1,0.12,0.17,0.07,0.35,0.25,0.15,-0.28,-0.2,0.2,0.1,0.27,-0.2,-0.05,0.2,-0.35,-0.35,-0.15,0.35,0.2,0.13,-0.25,0.23,0.2,0.1,-0.05,-0.12,-0.1,-0.12,-0.1
gpt4,-0.42,-0.15,0.12,0.12,-0.2,0.02,-0.5,0.0,-0.25,-0.05,0.0,-0.05,-0.13,-0.02,0.48,0.6,-0.33,-0.07,-0.15,0.03,-0.15,0.05,-0.1,-0.05,0.03,-0.1,-0.38,-0.1,-0.17,-0.1,0.1,-0.08,0.05,0.05,-0.1,-0.1,-0.32,-0.4,-0.25,0.05
gpt4o_mini,-0.42,-0.5,0.2,0.42,-0.55,0.23,0.08,0.18,-0.37,-0.07,-0.02,-0.03,0.28,0.05,0.65,0.7,-0.3,-0.12,-0.38,0.48,-0.12,0.47,-0.25,-0.25,0.0,-0.35,-0.52,-0.2,0.08,-0.03,0.12,-0.68,0.22,0.2,0.33,-0.33,-0.2,-0.47,-0.12,0.0
