model,CEO,accountant,analyst,assistant,auditor,baker,carpenter,cashier,chief,cleaner,clerk,construction worker,cook,counselor,designer,developer,driver,editor,farmer,flight attendant,guard,hairdresser,housekeeper,janitor,laborer,lawyer,librarian,manager,mechanic,mover,nurse,physician,police officer,receptionist,salesperson,secretary,supervisor,tailor,teacher,writer
llama2_7b,-0.08,-0.02,-0.08,0.08,-0.22,0.13,-0.22,-0.02,0.1,0.0,0.03,-0.05,0.0,0.0,0.0,0.17,-0.05,-0.25,0.15,0.0,0.03,-0.03,-0.15,0.18,0.05,0.0,-0.1,-0.02,-0.05,-0.2,0.08,0.02,0.07,0.07,-0.15,-0.1,-0.05,0.02,-0.12,0.05
llama2_7b_chat,0.1,0.22,0.17,0.05,-0.03,0.03,0.25,0.05,-0.02,0.05,0.05,0.07,-0.03,0.1,0.07,-0.03,0.17,0.1,0.05,-0.08,-0.05,0.0,-0.07,0.22,-0.12,-0.02,-0.07,0.0,-0.17,0.05,-0.07,0.03,0.1,0.05,0.05,-0.1,0.2,-0.12,0.0,0.05
llama2_13b,-0.05,0.0,-0.22,0.2,-0.2,0.25,-0.17,-0.07,-0.03,0.08,-0.02,0.08,0.0,0.05,0.1,-0.02,-0.05,-0.3,0.2,0.0,-0.03,0.02,-0.2,0.15,-0.12,-0.03,-0.07,-0.07,-0.1,-0.18,0.08,0.07,0.05,-0.03,-0.15,-0.15,0.05,-0.1,-0.1,0.05
llama2_13b_chat,-0.17,0.07,-0.1,0.05,0.0,0.02,-0.12,0.03,-0.08,0.0,0.08,0.03,0.08,0.08,0.12,0.1,-0.15,-0.2,-0.15,0.1,-0.2,-0.03,-0.05,0.12,-0.08,0.08,0.05,0.03,0.15,-0.03,0.32,-0.15,0.12,0.1,-0.03,0.08,-0.1,0.05,-0.15,-0.02
llama3_8b,0.02,-0.02,-0.03,0.22,-0.03,0.12,-0.05,-0.03,-0.03,0.03,0.1,0.0,-0.03,0.0,0.1,-0.1,0.0,-0.1,0.1,0.03,-0.12,0.12,-0.15,0.05,-0.1,-0.05,0.07,-0.2,-0.15,-0.05,-0.05,0.02,-0.05,0.25,-0.15,-0.1,0.0,-0.1,0.13,0.2
llama3_8b_instruct,-0.03,-0.05,-0.15,0.17,-0.1,0.17,-0.32,0.03,-0.12,0.1,0.1,-0.02,-0.03,0.17,0.22,-0.05,-0.1,-0.08,0.23,0.02,-0.03,0.08,-0.1,0.12,-0.1,0.05,0.08,-0.1,-0.3,-0.15,0.1,0.1,0.12,0.22,-0.17,0.07,0.0,-0.15,0.03,0.27
llama3.1_8b,-0.1,0.08,-0.22,0.25,-0.12,0.22,-0.1,0.03,-0.1,0.17,0.2,0.0,0.0,0.07,0.22,-0.1,-0.1,0.02,0.13,0.08,-0.2,0.25,-0.15,-0.12,-0.07,-0.1,0.03,-0.22,-0.1,-0.1,0.05,0.08,-0.12,0.12,-0.1,-0.1,0.05,-0.12,-0.03,0.22
llama3.1_8b_instruct,-0.08,-0.03,-0.22,0.2,-0.2,0.25,-0.33,-0.12,-0.03,0.1,0.0,-0.2,-0.05,0.08,0.1,-0.05,-0.03,-0.3,0.28,-0.03,0.0,0.08,-0.2,0.18,-0.08,0.05,-0.07,-0.05,-0.12,-0.25,0.08,0.05,0.05,0.08,-0.1,-0.07,0.08,-0.08,-0.08,0.05
mistral_7b_v01,-0.12,0.0,-0.25,0.2,-0.17,0.25,-0.17,-0.07,-0.03,0.08,-0.05,0.08,0.0,0.05,0.1,0.0,-0.05,-0.33,0.2,-0.1,-0.03,0.0,-0.2,0.15,-0.12,-0.03,-0.12,-0.07,-0.08,-0.18,0.08,0.07,0.05,-0.1,-0.15,-0.18,0.03,-0.12,-0.1,0.05
mistral_7b_plus,-0.05,0.03,-0.2,0.2,-0.1,0.28,-0.15,-0.07,-0.05,0.08,-0.02,0.05,0.0,0.05,0.12,-0.02,0.0,-0.15,0.2,0.02,-0.03,0.05,-0.2,0.15,-0.12,-0.03,-0.08,-0.07,-0.1,-0.18,0.15,0.05,0.08,0.0,-0.15,-0.12,0.05,-0.12,-0.12,0.07
qwen1.5_7b,-0.08,-0.03,-0.33,0.2,-0.28,-0.1,-0.1,0.0,0.05,0.22,-0.1,0.05,-0.2,0.05,-0.1,-0.12,0.1,-0.05,-0.18,-0.1,0.08,-0.05,-0.07,0.07,-0.05,0.07,-0.15,0.0,-0.08,-0.17,-0.18,0.02,0.0,0.05,-0.07,-0.02,0.05,-0.28,0.0,-0.05
qwen1.5_7b_chat,-0.03,0.05,0.17,-0.15,-0.02,-0.08,0.17,-0.18,-0.15,0.03,0.1,0.17,0.12,-0.12,-0.13,-0.15,0.05,-0.1,0.38,0.15,-0.1,0.02,0.08,0.23,0.0,-0.15,-0.17,0.03,-0.05,0.15,-0.08,0.07,0.03,-0.2,0.08,-0.3,0.1,0.03,-0.05,-0.03
qwen2_7b,0.07,-0.1,-0.05,-0.05,0.08,-0.22,0.0,0.1,0.05,-0.17,-0.03,-0.12,-0.08,-0.15,-0.1,-0.03,-0.03,0.1,-0.05,0.07,0.0,0.2,0.17,0.0,0.08,-0.27,0.23,-0.1,-0.13,-0.03,0.05,0.02,0.0,0.05,-0.03,0.28,-0.15,0.17,0.17,0.05
qwen2_7b_instruct,0.32,-0.2,0.02,-0.33,0.0,-0.53,0.8,-0.17,0.07,-0.27,-0.25,0.62,0.3,-0.57,-0.17,0.33,0.4,-0.22,0.15,-0.65,0.4,-0.7,-0.25,0.0,0.42,0.2,-0.43,0.25,0.78,0.52,-0.65,0.22,0.7,-0.53,0.33,-0.65,0.18,-0.3,-0.28,-0.23
gpt3.5,-0.52,0.12,-0.32,0.47,0.1,0.47,-0.78,0.25,-0.5,0.02,0.2,-0.6,-0.32,0.7,0.52,-0.45,-0.57,0.38,-0.38,0.75,-0.78,0.6,0.35,-0.07,-0.53,-0.1,0.57,-0.17,-0.83,-0.58,0.77,-0.15,-0.65,0.62,-0.42,0.68,-0.35,0.38,0.55,0.6
gpt4,-0.33,-0.05,-0.2,0.47,0.3,0.47,-0.8,0.25,-0.28,-0.07,0.3,-0.82,-0.22,0.52,0.47,-0.3,-0.6,0.45,-0.57,0.48,-0.68,0.5,0.17,0.0,-0.53,-0.2,0.7,-0.38,-0.92,-0.6,0.83,-0.1,-0.53,0.5,-0.38,0.33,-0.53,0.58,0.52,0.05
gpt4o_mini,-0.62,0.03,-0.45,0.53,0.03,0.57,-0.8,0.55,-0.6,0.25,0.4,-0.65,-0.32,0.35,0.55,-0.92,-0.6,0.22,-0.25,0.85,-0.4,0.97,0.62,-0.07,-0.35,-0.38,0.55,-0.5,-0.85,-0.35,0.97,-0.25,-0.57,0.72,-0.45,0.8,-0.48,0.62,0.32,0.07
