model,base,tuned
llama2_7b,0.2744785725047892,0.0630233108762564
llama2_13b,0.2616715813943478,-0.0078348651499171
llama3_8b,0.3652575389052713,0.2618760627650187
llama3.1_8b,0.4877849286467638,0.2361652209475021
mistral_7b_v01,0.2621666415549195,0.2809143545922211
qwen1.5_7b,-0.0374093286553735,-0.0960201467960998
qwen2_7b,-0.1133472524161088,-0.5417141996168665
