model,base,tuned
llama2_7b,0.0915012121599753,0.091115704108552
llama2_13b,0.1845269334323971,0.9207115076781814
llama3_8b,0.1609347168399554,0.9921531588442118
llama3.1_8b,0.4646221889672853,-0.0928058064521781
mistral_7b_v01,0.0268304842243972,0.0578507400440355
qwen1.5_7b,0.073036252651463,-0.0328794560130932
qwen2_7b,-0.0054742143302104,-0.8585842567273345
